Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
MOUNT STREET,0.155,0.188,0.225,0.267,0.309,0.353,0.398,0.454,0.516,0.571,0.633,0.7,0.757,0.828,0.898,0.975,1.053,1.135,1.217,1.303,1.385,1.471,1.558,1.636,1.725,1.812,1.812,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
MYTHOLMROYD,0.786,0.855,0.934,1.021,1.111,1.203,1.297,1.416,1.546,1.662,1.792,1.934,2.053,2.204,2.351,2.512,2.676,2.849,3.022,3.202,3.374,3.557,3.739,3.904,4.092,4.274,4.274,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NAB LANE,0.991,1.067,1.155,1.251,1.351,1.453,1.557,1.689,1.832,1.961,2.106,2.262,2.394,2.561,2.724,2.903,3.084,3.276,3.468,3.667,3.858,4.06,4.262,4.445,4.653,4.854,4.854,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NABWOOD,1.077,1.189,1.318,1.459,1.606,1.755,1.908,2.102,2.312,2.501,2.714,2.944,3.138,3.383,3.622,3.884,4.151,4.433,4.714,5.007,5.288,5.584,5.881,6.149,6.455,6.75,6.75,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NATIONAL AVENUE,0.531,0.601,0.681,0.769,0.86,0.953,1.048,1.169,1.299,1.417,1.549,1.692,1.813,1.965,2.114,2.277,2.443,2.619,2.793,2.976,3.15,3.335,3.519,3.686,3.876,4.06,4.06,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NEW DROPPINGWELL ROAD,1.437,1.542,1.663,1.795,1.933,2.073,2.217,2.399,2.597,2.774,2.974,3.19,3.372,3.602,3.827,4.073,4.323,4.588,4.852,5.128,5.391,5.669,5.948,6.2,6.487,6.764,6.764,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NEW ORCHARD LANE,1.65,1.739,1.84,1.952,2.067,2.185,2.306,2.459,2.625,2.774,2.942,3.124,3.277,3.47,3.659,3.866,4.077,4.299,4.521,4.753,4.974,5.208,5.442,5.654,5.895,6.128,6.128,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NEWHALL ROAD,0.298,0.331,0.369,0.411,0.455,0.499,0.545,0.602,0.665,0.721,0.784,0.852,0.91,0.983,1.054,1.132,1.211,1.295,1.378,1.466,1.549,1.637,1.725,1.805,1.896,1.984,1.984,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NEWPORT 1,1.079,1.156,1.244,1.341,1.441,1.544,1.649,1.782,1.926,2.056,2.201,2.359,2.492,2.66,2.824,3.004,3.187,3.38,3.573,3.774,3.966,4.17,4.373,4.557,4.767,4.97,4.97,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NEWPORT 2,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NINELANDS LANE,1.52,1.641,1.781,1.934,2.093,2.255,2.421,2.631,2.859,3.064,3.294,3.544,3.754,4.02,4.279,4.564,4.853,5.158,5.463,5.781,6.085,6.406,6.728,7.019,7.35,7.671,7.671,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
NORFOLK PARK,0.923,1.054,1.204,1.369,1.54,1.715,1.893,2.12,2.365,2.586,2.834,3.103,3.329,3.615,3.895,4.201,4.512,4.841,5.169,5.512,5.839,6.185,6.532,6.845,7.201,7.547,7.547,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
