Primary,2023/24,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
FYLANDS BRIDGE	20.154	20.664	20.664	20.968	21.247	21.55	21.953	22.559	23.299	23.996	24.702	25.483	26.199	26.952	27.692	28.417	29.157	29.564	29.855	30.126	30.352	30.53	30.665	30.732	30.893	31.041	31.06	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
GALE LANE	12.263	12.263	12.263	12.552	12.861	13.212	13.653	14.197	15.02	15.885	16.722	17.489	18.304	19.232	20.181	21.133	22.143	22.779	23.509	24.197	24.842	25.409	25.9	26.296	26.862	27.405	27.413	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
GARWOOD STREET	14.953	17.398	17.398	17.476	17.615	17.779	17.997	18.327	18.903	19.497	20.054	20.524	21.032	21.63	22.255	22.883	23.562	23.996	24.515	25.003	25.462	25.867	26.218	26.509	26.914	27.303	27.278	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
GATESHEAD CENTRAL	12	12.975	12.975	12.968	12.998	13.061	13.162	13.267	13.424	13.622	13.808	13.947	14.125	14.345	14.569	14.788	15.02	15.16	15.327	15.501	15.663	15.803	15.926	16.026	16.168	16.307	16.291	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
GATESHEAD EAST	9.868	9.868	9.868	9.835	9.841	9.885	9.971	10.083	10.225	10.377	10.534	10.68	10.814	10.943	11.062	11.16	11.239	11.285	11.322	11.346	11.356	11.355	11.344	11.324	11.31	11.291	11.25	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
GOSFORTH 33/11KV	17.216	17.216	17.216	17.101	17.03	16.978	16.962	16.97	17.071	17.203	17.331	17.434	17.569	17.753	17.956	18.167	18.408	18.545	18.725	18.894	19.053	19.19	19.308	19.401	19.544	19.681	19.635	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
GRANGETOWN	17.467	18.494	18.494	18.86	19.302	19.847	20.541	21.423	22.565	23.759	24.965	26.124	27.264	28.506	29.76	30.967	32.191	33.001	33.831	34.583	35.26	35.842	36.336	36.731	37.286	37.815	37.837	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
GREATHAM	23.7	23.7	23.7	23.491	23.303	23.135	23.001	22.899	22.843	22.798	22.758	22.72	22.693	22.687	22.692	22.705	22.731	22.722	22.732	22.741	22.748	22.748	22.742	22.729	22.736	22.741	22.678	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
GUISBOROUGH T1 T2	15.443	16.693	16.693	17.235	17.768	18.308	18.947	19.916	21.166	22.434	23.801	25.305	26.731	28.362	30.069	31.795	33.611	34.702	35.507	36.235	36.862	37.395	37.845	38.195	38.798	39.4	39.454	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
GUISBOROUGH T3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
