Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SOUTHGATE,0.918,0.932,0.94,0.948,0.959,0.975,0.993,1.018,1.053,1.07,1.105,1.134,1.144,1.171,1.194,1.225,1.254,1.294,1.341,1.401,1.452,1.52,1.594,1.637,1.718,1.787,1.875,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTHWOOD ROAD,1.414,1.444,1.462,1.481,1.503,1.54,1.579,1.635,1.713,1.751,1.828,1.892,1.914,1.974,2.025,2.093,2.158,2.247,2.349,2.483,2.595,2.746,2.91,3.006,3.184,3.337,3.533,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SOWERBY BRIDGE 33/11KV,1.213,1.236,1.249,1.263,1.28,1.306,1.336,1.378,1.436,1.464,1.521,1.569,1.585,1.63,1.668,1.719,1.767,1.833,1.909,2.009,2.093,2.205,2.328,2.399,2.531,2.646,2.791,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SPARK MILL LANE,1.505,1.539,1.559,1.58,1.605,1.646,1.689,1.753,1.84,1.881,1.968,2.039,2.064,2.131,2.188,2.264,2.336,2.436,2.55,2.699,2.825,2.994,3.177,3.284,3.482,3.654,3.873,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SPENBOROUGH,1.172,1.192,1.204,1.217,1.232,1.257,1.283,1.321,1.374,1.399,1.451,1.495,1.509,1.55,1.585,1.631,1.674,1.734,1.803,1.894,1.97,2.072,2.183,2.247,2.367,2.471,2.603,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SPRING MILL STREET,0.25,0.259,0.263,0.268,0.275,0.284,0.295,0.311,0.332,0.342,0.363,0.381,0.387,0.403,0.417,0.435,0.453,0.477,0.505,0.542,0.572,0.614,0.658,0.684,0.733,0.775,0.828,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
STAINFORTH,1.604,1.62,1.63,1.64,1.652,1.671,1.692,1.722,1.763,1.783,1.824,1.858,1.87,1.901,1.929,1.965,1.999,2.046,2.101,2.172,2.231,2.312,2.399,2.45,2.544,2.626,2.729,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
STAIRFOOT,2.201,2.224,2.238,2.251,2.269,2.296,2.325,2.367,2.426,2.454,2.511,2.559,2.576,2.62,2.659,2.71,2.758,2.825,2.901,3.002,3.085,3.199,3.322,3.393,3.526,3.641,3.787,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
STANLEY STREET,0.205,0.212,0.215,0.219,0.224,0.231,0.24,0.252,0.268,0.276,0.292,0.305,0.31,0.322,0.333,0.347,0.361,0.379,0.401,0.429,0.452,0.484,0.518,0.538,0.576,0.608,0.649,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
STANNINGTON ROAD,1.648,1.678,1.696,1.714,1.737,1.773,1.812,1.868,1.946,1.983,2.06,2.123,2.145,2.204,2.256,2.323,2.388,2.476,2.577,2.71,2.822,2.972,3.135,3.23,3.407,3.56,3.754,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
