Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
STAIRFOOT,2.912,3.049,3.207,3.38,3.56,3.744,3.931,4.169,4.427,4.659,4.919,5.201,5.439,5.74,6.033,6.354,6.681,7.027,7.372,7.732,8.075,8.438,8.803,9.132,9.506,9.869,9.869,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
STANLEY STREET,0.185,0.223,0.267,0.315,0.366,0.417,0.469,0.536,0.608,0.673,0.746,0.825,0.891,0.975,1.057,1.147,1.239,1.335,1.431,1.532,1.628,1.73,1.832,1.924,2.028,2.13,2.13,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
STANNINGTON ROAD,1.91,2.092,2.302,2.532,2.771,3.014,3.263,3.579,3.921,4.229,4.575,4.95,5.266,5.665,6.054,6.481,6.915,7.374,7.832,8.31,8.766,9.248,9.732,10.169,10.666,11.147,11.147,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
STATION ROAD,2.864,3.068,3.303,3.561,3.829,4.102,4.381,4.735,5.119,5.464,5.852,6.272,6.626,7.074,7.511,7.989,8.476,8.991,9.504,10.04,10.551,11.092,11.635,12.125,12.682,13.222,13.222,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
STEVENSON ROAD,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
STOKE STREET,0.01,0.011,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.02,0.021,0.022,0.024,0.025,0.026,0.028,0.03,0.031,0.033,0.035,0.036,0.038,0.04,0.041,0.043,0.043,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
STOURTON 132/11KV,0.04,0.043,0.047,0.051,0.055,0.06,0.064,0.07,0.076,0.082,0.088,0.095,0.101,0.108,0.115,0.123,0.131,0.14,0.148,0.157,0.165,0.174,0.183,0.191,0.2,0.209,0.209,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
STOURTON 33/11KV,0.645,0.695,0.754,0.818,0.884,0.952,1.021,1.109,1.204,1.29,1.386,1.491,1.579,1.69,1.798,1.917,2.038,2.166,2.293,2.426,2.553,2.687,2.822,2.944,3.082,3.216,3.216,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
STOW,0.797,0.812,0.831,0.851,0.871,0.892,0.914,0.941,0.971,0.997,1.027,1.06,1.087,1.122,1.155,1.192,1.23,1.269,1.309,1.35,1.39,1.432,1.473,1.511,1.554,1.596,1.596,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SWAN BANK LANE,0.484,0.565,0.658,0.76,0.867,0.975,1.085,1.226,1.378,1.515,1.669,1.835,1.976,2.153,2.326,2.516,2.709,2.913,3.117,3.329,3.532,3.746,3.962,4.156,4.377,4.591,4.591,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SWEET STREET,0.063,0.075,0.09,0.107,0.124,0.141,0.158,0.181,0.205,0.227,0.251,0.278,0.3,0.328,0.356,0.386,0.417,0.449,0.482,0.516,0.548,0.582,0.616,0.647,0.682,0.717,0.717,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SWINNOW MOOR,1.152,1.278,1.423,1.582,1.748,1.917,2.089,2.308,2.545,2.759,2.998,3.258,3.477,3.754,4.024,4.319,4.62,4.938,5.255,5.587,5.903,6.237,6.572,6.875,7.22,7.553,7.553,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
TADCASTER,1.109,1.208,1.322,1.446,1.576,1.708,1.843,2.015,2.201,2.368,2.555,2.759,2.93,3.147,3.358,3.59,3.826,4.075,4.323,4.583,4.83,5.092,5.355,5.592,5.862,6.123,6.123,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
TANKERSLEY PARK,2.071,2.186,2.319,2.465,2.617,2.771,2.929,3.129,3.346,3.541,3.76,3.998,4.198,4.451,4.698,4.968,5.243,5.534,5.824,6.127,6.416,6.722,7.029,7.306,7.621,7.926,7.926,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
TEMPLEBOROUGH 33/11KV,1.326,1.406,1.499,1.6,1.705,1.812,1.922,2.061,2.212,2.347,2.5,2.665,2.804,2.98,3.151,3.339,3.531,3.733,3.934,4.145,4.346,4.558,4.771,4.964,5.183,5.395,5.395,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
THORNBURY,0.331,0.427,0.537,0.658,0.785,0.913,1.044,1.211,1.391,1.553,1.736,1.933,2.1,2.31,2.516,2.741,2.969,3.211,3.453,3.705,3.945,4.199,4.455,4.685,4.947,5.201,5.201,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
THORNE,2.93,3.062,3.214,3.381,3.555,3.732,3.912,4.142,4.39,4.614,4.865,5.138,5.367,5.657,5.94,6.25,6.565,6.899,7.231,7.578,7.91,8.26,8.612,8.929,9.29,9.64,9.64,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
THORNTON,1.802,1.969,2.162,2.373,2.593,2.817,3.045,3.336,3.65,3.934,4.251,4.596,4.886,5.253,5.611,6.003,6.402,6.824,7.245,7.684,8.103,8.547,8.992,9.393,9.85,10.293,10.293,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
THORPE ROAD,0.993,1.067,1.151,1.244,1.341,1.439,1.54,1.668,1.806,1.93,2.07,2.222,2.349,2.51,2.668,2.84,3.016,3.201,3.386,3.579,3.764,3.959,4.154,4.331,4.532,4.726,4.726,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
TICKHILL ROAD,3.488,3.63,3.794,3.974,4.16,4.35,4.545,4.792,5.059,5.299,5.569,5.862,6.109,6.42,6.725,7.058,7.397,7.756,8.113,8.486,8.843,9.219,9.597,9.939,10.327,10.703,10.703,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
TINGLEY,1.675,1.792,1.926,2.074,2.227,2.383,2.543,2.746,2.965,3.163,3.384,3.625,3.827,4.083,4.333,4.607,4.885,5.18,5.473,5.78,6.072,6.382,6.692,6.972,7.292,7.6,7.6,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
