Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SOWERBY BRIDGE 33/11KV,742,1230,1818,2486,3218,3998,4930,5825,6694,7528,8319,9059,9758,10406,10995,11517,11981,12366,12689,12961,13189,13376,13512,13625,13719,13801,13801,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SPARK MILL LANE,818,1340,1958,2647,3405,4212,5176,6102,7001,7863,8682,9446,10166,10835,11444,11984,12465,12864,13200,13480,13716,13910,14050,14168,14265,14349,14349,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SPENBOROUGH,601,1034,1585,2238,2950,3709,4614,5484,6329,7140,7910,8632,9321,9951,10525,11033,11486,11856,12168,12432,12654,12836,12968,13078,13169,13248,13248,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SPRING MILL STREET,126,253,441,687,953,1236,1573,1897,2212,2514,2801,3072,3336,3572,3786,3977,4146,4281,4395,4493,4576,4645,4694,4734,4768,4797,4797,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STAINFORTH,571,908,1286,1687,2129,2601,3166,3708,4234,4738,5216,5662,6076,6467,6823,7138,7418,7655,7853,8017,8155,8268,8350,8419,8476,8526,8526,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STAIRFOOT,633,1103,1712,2444,3242,4091,5104,6077,7023,7931,8792,9601,10376,11082,11724,12293,12800,13212,13561,13856,14105,14309,14457,14579,14682,14770,14770,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STANLEY STREET,63,149,288,480,685,904,1164,1415,1659,1893,2115,2326,2533,2716,2882,3029,3160,3263,3351,3427,3492,3544,3583,3613,3640,3662,3662,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STANNINGTON ROAD,784,1361,2108,3002,3977,5014,6252,7442,8598,9708,10760,11749,12694,13557,14341,15037,15656,16161,16587,16948,17252,17502,17682,17832,17957,18065,18065,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STATION ROAD,605,1069,1683,2431,3244,4109,5141,6133,7097,8022,8900,9725,10517,11237,11892,12472,12989,13408,13762,14063,14317,14525,14676,14800,14904,14995,14995,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STEVENSON ROAD,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STOKE STREET,3,5,7,10,14,18,22,26,30,34,38,42,45,48,51,54,56,58,59,60,62,62,63,64,64,64,64,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STOURTON 132/11KV,19,31,46,62,80,99,122,143,165,185,204,222,239,255,269,282,293,302,310,317,322,327,330,333,335,337,337,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STOURTON 33/11KV,291,478,699,946,1217,1506,1851,2182,2504,2813,3106,3380,3637,3877,4095,4288,4460,4603,4723,4824,4908,4978,5028,5070,5105,5135,5135,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STOW,215,353,516,697,897,1109,1363,1607,1844,2071,2286,2488,2677,2853,3014,3156,3282,3387,3476,3550,3612,3663,3700,3731,3756,3779,3779,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SWAN BANK LANE,342,597,929,1329,1764,2227,2779,3310,3826,4321,4791,5232,5655,6040,6390,6700,6977,7202,7392,7553,7689,7800,7881,7947,8003,8051,8051,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SWEET STREET,38,72,122,186,255,329,416,501,583,661,736,806,875,936,992,1041,1085,1121,1150,1176,1198,1215,1228,1239,1248,1255,1255,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SWINNOW MOOR,599,1019,1546,2165,2840,3560,4419,5244,6045,6815,7544,8229,8880,9478,10022,10504,10933,11285,11581,11832,12042,12215,12340,12444,12531,12606,12606,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TADCASTER,569,939,1381,1881,2428,3012,3709,4378,5028,5652,6243,6797,7319,7803,8243,8633,8981,9269,9511,9714,9884,10024,10126,10211,10281,10342,10342,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
