Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
STATION ROAD,605,846,1160,1545,2009,2559,3129,3762,4458,5208,6012,6875,7826,8818,9818,10811,11650,12446,13182,13848,14440,14959,15292,15414,15527,15635,15738,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STEVENSON ROAD,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STOKE STREET,3,4,5,7,9,11,13,16,19,22,26,30,34,38,42,46,50,53,57,60,62,64,66,66,67,67,68,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STOURTON 132/11KV,19,25,32,40,49,61,74,88,103,119,137,156,178,200,222,244,262,280,296,311,324,336,343,346,348,351,353,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STOURTON 33/11KV,291,378,481,603,751,932,1120,1332,1566,1818,2089,2380,2702,3037,3375,3711,3994,4263,4511,4736,4935,5111,5223,5263,5300,5336,5371,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
STOW,215,279,355,445,554,687,825,981,1153,1338,1538,1752,1988,2235,2484,2731,2939,3137,3320,3485,3632,3761,3843,3872,3900,3926,3952,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SWAN BANK LANE,342,472,640,845,1092,1386,1690,2029,2402,2804,3235,3697,4207,4738,5275,5807,6257,6683,7078,7434,7751,8030,8208,8273,8334,8392,8447,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SWEET STREET,38,57,84,118,158,206,254,308,367,431,499,572,652,735,820,904,975,1042,1104,1160,1210,1254,1282,1293,1302,1312,1320,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SWINNOW MOOR,599,806,1065,1379,1757,2211,2683,3210,3790,4415,5087,5807,6603,7432,8268,9099,9800,10464,11079,11635,12129,12563,12841,12942,13036,13125,13211,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TADCASTER,569,743,952,1199,1500,1866,2246,2674,3146,3655,4202,4788,5437,6113,6796,7473,8044,8586,9087,9540,9942,10296,10522,10603,10679,10751,10821,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TANKERSLEY PARK,621,816,1054,1337,1680,2096,2529,3015,3550,4127,4748,5413,6149,6916,7689,8457,9105,9719,10287,10801,11258,11659,11915,12007,12094,12176,12255,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TEMPLEBOROUGH 33/11KV,440,577,743,941,1181,1472,1774,2114,2489,2893,3328,3794,4308,4845,5387,5925,6378,6808,7206,7566,7886,8166,8346,8410,8471,8528,8584,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
THORNBURY,357,507,704,948,1241,1587,1944,2342,2779,3248,3753,4293,4889,5510,6137,6759,7285,7784,8245,8663,9033,9359,9568,9644,9715,9783,9848,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
THORNE,3080,3437,3622,3700,3842,4155,4513,4986,5530,6135,6794,7510,8322,9173,10028,10875,11569,12232,12845,13400,13891,14322,14590,14664,14737,14811,14885,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
THORNTON,838,1113,1454,1861,2355,2950,3568,4261,5025,5848,6732,7680,8727,9819,10921,12015,12937,13813,14622,15354,16005,16576,16942,17073,17197,17314,17427,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
