Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
POTTER HOUSE T4 T5,6.969,6.969,6.969,7.006,7.054,7.112,7.174,7.280,7.414,7.563,7.703,7.805,7.923,8.037,8.135,8.227,8.313,8.403,8.489,8.570,8.648,8.720,8.786,8.841,8.895,8.945,8.982,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
PRISSICK,20.293,20.615,20.615,21.047,21.514,22.019,22.596,23.511,24.614,25.764,26.777,27.464,28.308,29.102,29.743,30.315,30.826,31.331,31.800,32.213,32.584,32.890,33.129,33.235,33.366,33.467,33.470,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
RAVENSCAR,1.473,1.473,1.473,1.505,1.542,1.582,1.624,1.682,1.744,1.808,1.874,1.938,1.992,2.039,2.077,2.109,2.141,2.171,2.197,2.233,2.266,2.294,2.321,2.341,2.363,2.382,2.394,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
RAWCLIFFE LANE,16.292,16.907,16.907,17.164,17.460,17.798,18.183,18.742,19.451,20.205,20.983,21.711,22.454,23.147,23.724,24.240,24.699,25.167,25.603,25.989,26.343,26.653,26.882,26.974,27.085,27.176,27.222,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
REDCAR,25.748,26.687,26.687,27.494,28.425,29.450,30.597,32.308,34.325,36.420,38.569,40.512,42.316,43.940,45.318,46.537,47.614,48.667,49.625,50.476,51.238,51.886,52.440,52.800,53.178,53.491,53.616,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
RESERVOIR,18.996,18.996,18.996,19.672,20.419,21.237,22.182,23.576,25.127,26.710,28.335,29.880,31.256,32.476,33.493,34.388,35.177,35.931,36.608,37.222,37.769,38.226,38.605,38.826,39.071,39.267,39.329,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
RICHMOND T1,8.401,8.401,8.401,8.673,8.972,9.311,9.711,10.284,10.964,11.656,12.509,13.477,14.225,14.885,15.436,15.929,16.367,16.781,17.157,17.492,17.797,18.070,18.332,18.550,18.768,18.958,19.070,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
RICHMOND T2,3.618,3.618,3.618,3.692,3.804,3.980,4.154,4.343,4.574,4.827,5.127,5.478,5.771,6.050,6.305,6.551,6.788,7.027,7.256,7.462,7.661,7.854,8.043,8.207,8.354,8.492,8.616,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
RIPON,17.524,18.428,18.428,18.718,19.074,19.498,19.990,20.650,21.431,22.235,23.085,23.911,24.666,25.359,25.943,26.466,26.932,27.374,27.774,28.124,28.435,28.706,28.943,29.103,29.286,29.444,29.540,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
RISE CARR,9.128,10.296,10.296,10.566,10.869,11.197,11.549,12.045,12.650,13.301,13.896,14.335,14.852,15.338,15.737,16.094,16.412,16.730,17.024,17.282,17.515,17.710,17.863,17.933,18.018,18.084,18.098,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
ROMANBY,3.659,3.659,3.659,3.834,4.015,4.206,4.414,4.661,4.959,5.276,5.563,5.782,6.054,6.316,6.548,6.761,6.953,7.139,7.313,7.472,7.619,7.749,7.853,7.911,7.979,8.039,8.077,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
RUDBY,4.652,4.652,4.652,4.802,4.964,5.145,5.358,5.649,5.977,6.303,6.690,7.121,7.457,7.753,8.012,8.246,8.452,8.647,8.824,8.981,9.125,9.252,9.371,9.471,9.572,9.661,9.716,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
SCARBOROUGH 33/11KV,18.716,19.598,19.598,19.885,20.219,20.617,21.034,21.519,22.194,22.944,23.688,24.296,24.958,25.583,26.086,26.539,26.950,27.343,27.694,28.066,28.404,28.694,28.955,29.138,29.330,29.493,29.563,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
SCARBOROUGH 66/11KV,0.268,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
